file,c_flexbison,java_antlr,python_antlr
docker_test_1.yml,0.0007170854271356784,0.459736648241206,0.5838215628450347
docker_test_2.yml,0.0009984924623115577,0.2661442110552764,0.4483994573193334
docker_test_3.yml,0.0007050251256281408,0.3589090251256281,0.45302508545378556
docker_test_4.yml,0.0006809045226130652,0.17283416582914574,0.39006579399069985
docker_test_5.yml,0.0006979899497487437,0.13402963819095476,0.4292713165981256
docker_test_6.yml,0.0006889447236180904,0.08824824120603014,0.4107135326413487
docker_test_7.yml,0.0006773869346733669,0.11669446733668341,0.3808808743960798
docker_test_8.yml,0.0007060301507537688,0.07683768341708543,0.44697735178780573
docker_test_9.yml,0.0011276381909547737,0.12342863316582914,0.4490858944281807
docker_test_10.yml,0.000685929648241206,0.38681908040201,0.5883768342243626
