lang,mean,median,std,min,max,count
c_flexbison,0.0007685427135678391,0.0007,0.0019327625378163765,0.0006,0.0589,1990
java_antlr,0.21836817939698494,0.1436,0.44711351885411016,0.053,16.319899,1990
python_antlr,0.4580617703684757,0.3710999999384512,0.446050037116799,0.3538999999364023,8.958800000073097,1990
